ай:луна,месяц
аймақ:зона,местность
алмастыр:обменять,заменить
анықтама:справка,определение
апат:авария,бедствие
астана:астана,столица
аудан:район,площадь
аш:открыть,открываться
аяқ:нога,конец
байланыс:связь,звено
бар:идти,пойти
бастау:ключ,источник
басшы:глава,начальник
бер:дать,сдать
бол:быть,иметь
буын:слог,сустав
бірлік:единица,единство
бәрі:весь,весь
бөлшек:дробь,часть
дала:поле,степь
дастан:эпос,поэма
егістік:пашня,пахота
едәуір:заметно,значительно
ел:страна,владение
ен:метка,ширина
ерлік:подвиг,героизм
ес:разум,память
ешкі:коза,козёл
жарлық:указ,приказ
жауап:ответ,разгадка
жақ:бок,сторона
жаңалық:новость,новинка
жең:осилить,выиграть
жинақ:набор,сборник
жобалау:проектировка,проектирование
жоспарла:планировать,спланировать
жүргізуші:ведущая,водитель
жұрт:народ,публика
зат:вещь,вещество
заң:закон,обычай
иелен:владеть,обзавестись
кедергі:преграда,препятствие
кезек:черед,очередь
кезең:фаза,период
кеңейту:плагин,надстройка
кеңес:консультация,рекомендация
көп:много,немного
көрсеткіш:стрелка,показатель
мекеме:заведение,учреждение
молшылық:достаток,изобилие
міндет:обязанность,обязательство
мұқият:тщательно,внимательно
мән:суть,значение
ниет:задумка,намерение
нысан:форма,объект
нәтиже:счёт,результат
пайдаланушы:владелец,пользователь
рұқсат:доступ,разрешение
таныстыр:знакомить,ознакомить
тағы:вновь,опять
топ:разряд,группа
түс:сон,полдень
түс:спускать,спуститься
түсінік:понятие,объяснение
тұрақтылық:постоянство,стабильность
төмен:вниз,низко
шара:мера,способ
шарт:договор,условие
шеш:решить,разбираться
шығар:издать,уволить
қол:рука,подпись
қор:фонд,запас
қорла:унизить,осквернить
қыр:ребро,грань
қырғызстан:киргизия,кыргызстан
құрал:средство,инструмент
құрылыс:стройка,строение
үлгі:модель,образец
үлес:удел,вклад
үшін:за,для
ұзындық:длина,протяженность
ұйымдастыр:организовать,ориентировать
ұлт:нация,национальность
әдіс:приём,метод
әлі:еще,ещё
әскер:армия,войска
әңгіме:беседа,рассказ
өзек:стержень,сердцевина
өндіріс:производство,промышленность
өнім:продукт,продукция
өтініш:обращение,заявление
