abruptly:кенеттен,шұғыл
abstract:абстрактілі,абстрактілік
admirable:керемет,таңғажайып
after:кейін,кейін
air:ауа,әуе
always:үнемі,әрдайым
anger:ашу,ыза
angle:қыр,бұрыш
appearance:бейне,өң
argument:дау,келіспеушілік
art:өнер,мәдениет
artist:әртіс,суретші
assignment:тапсырма,мақсат
attention:ілтипат,назар
author:автор,жазушы
authority:жетекшілік,өкілеттілік
avenue:авеню,даңғыл
bag:қап,сөмке
banner:ту,жарнама
be:,бол
beat:соқ,соққы
beauty:көрік,көріктілік
because:себебі,өйткені
bed:төсек,кереует
blink:уқала,жылтыра
boot:бәтеңке,жүксалғыш
bouquet:гүлшоқ,шоқ
brazil:бразилия,бразилия
bridge:көпір,бридж
british:британдық,британдық
brow:қас,мандай
brush:шөтке,щетка
bush:бұта,түп
cake:пирог,бәліш
canvas:кенеп,мата
cap:кепка,қақпақ
capital:астана,капитал
central:орталық,орталық
certificate:сертификат,куәлік
chapter:тарау,бап
characteristic:қасиет,мінездеме
chat:сөйлес,сұхбаттас
chest:кеуде,сандық
china:қытай,қытай
class:тап,сабақ
coach:бапкер,жаттықтырушы
command:әмір,бұйрық
commission:комиссия,комитет
companion:серік,жар
conscience:ар,ұждан
consciousness:сана,ес
cord:шнур,арқан
cunning:сұмдық,айлакерлік
dear:құрметті,қымбатты
debt:қарыз,борыш
decree:жарлық,жарғы
deformity:деформация,бұзылғандық
degree:дәреже,градус
desire:тілек,көңіл
detail:жайт,бөлшек
dictator:сұлтан,диктатор
dirt:саз,лас
distance:алшақтық,арақашықтық
do:істе,жаса
doctor:доктор,дәрігер
employee:қызметші,жұмыскер
england:англия,ұлыбритания
ensue:туында,орындал
evidence:айғақ,дәлел
explain:аңда,түсіндір
face:жүз,бет
failure:бас,сәтсіздік
fall:түс,құла
family:отбасы,отбасы
farmer:фермер,диқан
fast:тез,шапшаң
february:ақпан,ақпан
fighter:соғысушы,күресуші
finish:бітір,біт
first:тұңғыш,бірінші
flag:ту,жалау
floor:еден,қабат
flow:арала,туында
for:үшін,үшін
forehead:мандай,маңдай
frame:рамка,рама
france:франция,франция
freeze:үсі,тоңазыт
friday:жұма,жұма
friend:жолдас,дос
front:алд,қасбет
gender:жыныс,ру
geography:жағрафия,география
gesture:ым,базыналық
glad:риза,қуанышты
go:бар,кет
grace:мейірім,рақымдылық
grant:грант,жіберу
great:үлкен,ұлағатты
ground:жер,топырақ
harbour:айлақ,порт
harvest:егін,орақ
hat:шляпа,қалпақ
health:ахуал,денсаулық
healthy:аман,сау
heart:көңіл,жүрек
herb:үйір,шөп
hide:жасыр,жасырын
hood:телпек,күләпара
hope:үміт,сенім
horn:қауыз,мүйіз
how:қанша,қалай
idea:ой,идея
igor:игор,игорь
immediately:тез,бірден
importance:маңыз,мән
improve:жақсар,жақсарт
increase:өст,өс
independent:тәуелсіз,өзіндік
infant:сәби,нәресте
influence:ықпал,әсер
institute:институт,инстиут
instrument:аспап,құрал
intercede:сұран,өтін
interest:мүдде,қызығушылық
january:қаңтар,қаңтар
journey:сапар,саяхат
judge:қазы,би
july:шілде,шілде
jungle:орман,джунгли
kazakh:қазақ,қазақ
kazakhstan:қазақстан,қазақстан
kitten:марғау,мысық
knot:жіп,түйіншек
lab:зертхана,зертханалық
lady:леди,келіншек
lamb:қозы,қошақан
lame:ақсақ,ақсақ
lamp:шам,шырақ
landlord:қожайын,қожа
last:соңғы,ақырғы
later:кейін,кейінірек
latin:латын,латиндік
length:бой,ұзындық
lesson:сабақ,дәріс
lie:өтірік,жалған
lightning:найзағай,дабылшы
limit:шек,шекара
look:көр,қара
luck:құт,бақыт
magnificent:тамаша,атақты
march:наурыз,наурыз
mark:баға,белгілеу
master:қожа,ұстаз
mattress:матрас,матрац
mature:ержеткен,жетілген
medicine:дәрі,медицина
meet:кездес,кездестір
member:мүше,қатысушы
mental:ментальді,психикалық
mile:миля,шақырым
monday:дүйсенбі,дүйсенбі
morning:таң,таңертең
mother:ана,шеше
movement:қозғалыс,қимыл
mum:ана,анашым
nail:шеге,тырнақ
necessary:маңызды,қажетті
now:енді,қазір
oblique:қисық,қиғаш
obliquely:қисық,қиғаштай
officer:офицер,қызметкер
oh:ау,ох
opinion:пікір,көзқарас
order:рет,орден
outside:сырт,жан
over:аса,жуық
owner:ие,иеленуші
passport:паспорт,төлқұжат
past:кет,кет
patience:сабыр,шыдам
peace:сәлем,бейбітшілік
pen:қалам,ручка
penalty:айыппұл,жаза
photo:фото,фотосурет
physical:физикалық,физикалық
poison:у,зәр
portrait:сурет,портрет
powder:шаң,ұнтақ
prey:алапа,жемтік
pride:мақтаныш,өркөкіректік
principle:қағидат,ұстаным
property:қасиет,меншік
proud:асқақ,өркөкірек
quarrel:керіс,жанжал
queen:ханым,патшайым
question:сұрақ,мәселе
quite:әбден,кішкене
rabbit:қоян,көжек
radish:шалғы,шалғам
rain:жауын,жаңбыр
